"ERROR"
Node pair counts:
  Cubix.Language.SuiMove.Modularized.AbilityCopy -> Cubix.Language.SuiMove.Modularized.CopyTok: 2396
  Cubix.Language.SuiMove.Modularized.AbilityDecls -> Cubix.Language.SuiMove.Modularized.AbilityCopy: 2010
  Cubix.Language.SuiMove.Modularized.AbilityDecls -> Cubix.Language.SuiMove.Modularized.AbilityDrop: 3744
  Cubix.Language.SuiMove.Modularized.AbilityDecls -> Cubix.Language.SuiMove.Modularized.AbilityKey: 3353
  Cubix.Language.SuiMove.Modularized.AbilityDecls -> Cubix.Language.SuiMove.Modularized.AbilityStore: 3774
  Cubix.Language.SuiMove.Modularized.AbilityDecls -> Cubix.Language.SuiMove.Modularized.HasTok: 6124
  Cubix.Language.SuiMove.Modularized.AbilityDrop -> Cubix.Language.SuiMove.Modularized.DropTok: 4360
  Cubix.Language.SuiMove.Modularized.AbilityKey -> Cubix.Language.SuiMove.Modularized.KeyTok: 3525
  Cubix.Language.SuiMove.Modularized.AbilityStore -> Cubix.Language.SuiMove.Modularized.StoreTok: 4017
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.AbortTok: 1551
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAbortExpression: 6
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAssignExpression: 1
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionBinaryExpression: 13
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCallExpression: 12
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCastExpression: 4
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIdentifiedExpression: 4
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIfExpression: 4
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLambdaExpression: 1
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLoopExpression: 1
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMacroCallExpression: 2
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMatchExpression: 0
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionQuantifierExpression: 1
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionReturnExpression: 1
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionUnaryExpression: 1434
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionVectorExpression: 0
  Cubix.Language.SuiMove.Modularized.AbortExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionWhileExpression: 1
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAbortExpression: 1
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAssignExpression: 1
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionBinaryExpression: 8
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCallExpression: 6
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCastExpression: 1
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIdentifiedExpression: 3
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIfExpression: 1
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLambdaExpression: 5
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLoopExpression: 5
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMacroCallExpression: 1
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMatchExpression: 0
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionQuantifierExpression: 1
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionReturnExpression: 1
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionUnaryExpression: 136
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionVectorExpression: 0
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionWhileExpression: 1
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenTypeApplyType: 45
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenTypeFunctionType: 6
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenTypePrimitiveType: 92
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenTypeRefType: 10
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.HiddenTypeTupleType: 13
  Cubix.Language.SuiMove.Modularized.AnnotationExpression -> Cubix.Language.SuiMove.Modularized.RightParenthesisTok: 149
  Cubix.Language.SuiMove.Modularized.ApplyType -> Cubix.Language.SuiMove.Modularized.ModuleAccess1: 228
  Cubix.Language.SuiMove.Modularized.ApplyType -> Cubix.Language.SuiMove.Modularized.ModuleAccess2: 1
  Cubix.Language.SuiMove.Modularized.ApplyType -> Cubix.Language.SuiMove.Modularized.ModuleAccess4: 9025
  Cubix.Language.SuiMove.Modularized.ApplyType -> Cubix.Language.SuiMove.Modularized.ModuleAccess5: 823
  Cubix.Language.SuiMove.Modularized.ApplyType -> Cubix.Language.SuiMove.Modularized.ModuleAccess6: 210
  Cubix.Language.SuiMove.Modularized.ApplyType -> Cubix.Language.SuiMove.Modularized.ModuleAccess7: 227
  Cubix.Language.SuiMove.Modularized.ApplyType -> Cubix.Language.SuiMove.Modularized.ModuleAccess8: 625
  Cubix.Language.SuiMove.Modularized.ApplyType -> Cubix.Language.SuiMove.Modularized.ModuleAccess9: 5
  Cubix.Language.SuiMove.Modularized.ApplyType -> Cubix.Language.SuiMove.Modularized.ModuleAccessMember: 3
  Cubix.Language.SuiMove.Modularized.ApplyType -> Cubix.Language.SuiMove.Modularized.TypeArguments: 229
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAbortExpression: 33
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAssignExpression: 2
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionBinaryExpression: 3736
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCallExpression: 4432
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCastExpression: 175
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIdentifiedExpression: 3
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIfExpression: 35
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLambdaExpression: 633
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLoopExpression: 4
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMacroCallExpression: 174
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMatchExpression: 0
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionQuantifierExpression: 1
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionReturnExpression: 2
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionUnaryExpression: 7986
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionVectorExpression: 0
  Cubix.Language.SuiMove.Modularized.ArgList -> Cubix.Language.SuiMove.Modularized.HiddenExpressionWhileExpression: 1
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.EqualsSignTok: 3047
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAbortExpression: 2
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAssignExpression: 1
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionBinaryExpression: 1996
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCallExpression: 618
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCastExpression: 18
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIdentifiedExpression: 4
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIfExpression: 53
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLambdaExpression: 1
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLoopExpression: 1
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMacroCallExpression: 5
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMatchExpression: 0
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionQuantifierExpression: 1
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionReturnExpression: 1
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionUnaryExpression: 1738
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionVectorExpression: 0
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenExpressionWhileExpression: 1
  Cubix.Language.SuiMove.Modularized.AssignExpression -> Cubix.Language.SuiMove.Modularized.HiddenUnaryExpression: 3047
  Cubix.Language.SuiMove.Modularized.AtBind -> Cubix.Language.SuiMove.Modularized.BindListBind: 36
  Cubix.Language.SuiMove.Modularized.AtBind -> Cubix.Language.SuiMove.Modularized.BindListCommaBindList: 1
  Cubix.Language.SuiMove.Modularized.AtBind -> Cubix.Language.SuiMove.Modularized.BindListOrBindList: 32
  Cubix.Language.SuiMove.Modularized.AtBind -> Cubix.Language.SuiMove.Modularized.CommercialAtTok: 52
  Cubix.Language.SuiMove.Modularized.AtBind -> Cubix.Language.SuiMove.Modularized.HiddenVariableIdentifier: 52
  Cubix.Language.SuiMove.Modularized.BinaryExpression1 -> Cubix.Language.SuiMove.Modularized.EqualsSignEqualsSignGreaterThanSignTok: 11
